ARC_SAND_ORE	106=0.16|108=0.32|110=0.64|115=0.48|301=0.96|305=0.48|307=0.64|405=0.16|408=0.24|418=0.4|501=0.16|504=0.32|506=0.16
AURORITE	108=0.16|110=0.32|118=0.48|212=0.48|215=0.64|217=0.48|218=0.48|303=0.32|305=0.72|320=0.32|408=0.72
BOILED_EGG_ORE	312=0.57|318=1.14|319=0.38|417=0.38|418=0.95
BONJELIUM	502=0.4|504=0.8|506=0.4|507=0.2|510=0.4|511=0.4
CIMMERIAN_CINNABAR	202=0.38|203=0.19|217=0.57|207=0.76
DAWNSTONE	109=0.84|110=1.12|118=0.57
ENDURON_LEAD	212=0.27|215=0.36|218=0.27|219=0.18|305=1.14|307=0.76|309=0.38|503=0.19|504=0.4|508=0.2
EVERFREEZE_ORE	408=0.57|417=0.38|418=0.95|420=0.19|202=0.38|215=1.12|220=0.56
FOUCAULTIUM	108=0.2|109=0.84|111=0.2|207=0.36|208=0.38|215=0.36
INFERNIUM	207=1.12|220=0.56|301=0.27|307=0.36|312=0.27|319=0.18|217=0.57
LIONBONE_BORT	109=0.72|115=0.72|301=0.48|312=0.24|318=0.48
MARINE_RUTILE	401=0.6|414=0.6|418=0.95|504=0.76|508=0.38
OUROBOROS_CRYSTAL	308=0.28|320=0.18|309=0.38
PARHELION_PLATINUM	401=0.76|418=0.95|414=0.38
WHITE_COMETITE	110=0.76|115=0.84|118=0.84|207=0.36|212=0.27|218=0.27|219=0.18|303=0.38|307=0.36|318=0.27
