101	C	S	0
102	C	F	-
103	C	E	1
104	C	S	1
105	A	F	-
106	B	E	0
107	A	F	-
108	C	F	-
109	C	D	-
110	C	E	0
111	C	F	-
112	A	F	-
113	C	C	-
114	C	E	-
115	C	D	C
116	A	D	-
117	A	D	1
118	C	E	-
119	C	E	-
120	B	B	-
121	A	E	-
202	C	C	-
203	C	A	-
204	A	C	-
205	A	F	-
208	B	D	-
209	C	F	-
210	B	D	-
211	A	D	-
212	B	E	-
214	C	D	2
215	C	D	-
216	C	A	1
217	C	C	-
218	C	E	-
219	C	E	-
220	C	C	0
221	C	E	2
222	C	D	0
223	C	F	0
224	C	A	-
225	C	A	0
301	B	D	-
302	C	E	-
303	C	E	-
304	B	A	-
305	C	E	-
306	C	D	0
307	C	B	-
308	B	C	-
309	C	C	-
310	C	A	-
311	C	B	-
312	C	D	-
313	C	E	2
314	C	B	-
315	A	S	0
316	C	D	-
317	C	A	1
318	C	B	0
319	C	D	1
320	C	B	-
321	A	D	-
322	A	A	-
401	C	B	-
402	A	B	-
403	A	C	-
404	B	S	0
405	A	E	-
406	C	B	-
407	A	B	-
408	B	D	0
409	B	S	-
410	C	S	0
411	A	A	-
412	A	B	-
413	C	A	0
414	C	B	1
415	C	S	-
416	C	B	-
417	B	D	-
418	C	C	-
419	C	S	1
420	B	C	-
