101	R4
102	M4
103	M5
104	R5
105	M6
106	M8
107	M10
108	M2
109	M1
110	M1
111	M4
112	M1
113	M2
114	M1
115	M1
116	M1
117	M1
118	M1
119	M1
120	M1
121	M1
202	M4
203	R3
204	M8
205	M2
208	M4
209	S
210	M8
211	M10
212	M2
214	S
215	M3
216	R5
217	M5
218	M3
219	M2
220	M5
221	M5
222	M5
223	S
224	R1
225	R2
301	M1
302	M1
303	S
304	R1
305	M2
306	S
307	M3
308	S
309	M2
310	R3
311	S
312	M2
313	S
314	M1
315	R6
316	S
317	R6
318	R6
319	S
320	R4
321	M10
322	R4
401	M2
402	M7
403	M8
404	M3
405	M8
406	R2
407	M6
408	M8
409	M2
410	M4
411	R1
412	M6
413	R4
414	M3
415	R4
416	M4
417	S
418	M8
419	R6
420	M4
